design,interaction_pae,pae,pred_lddt,target_aligned_antibody_rmsd,target_aligned_cdr_rmsd,framework_aligned_antibody_rmsd,framework_aligned_cdr_rmsd,framework_aligned_H1_rmsd,framework_aligned_H2_rmsd,framework_aligned_H3_rmsd,framework_aligned_L1_rmsd,framework_aligned_L2_rmsd,framework_aligned_L3_rmsd
nb_0_dldesign_0,17.77,9.57,0.88,10.82,9.24,0.52,0.95,0.68,0.62,1.47,,,
nb_0_dldesign_1,17.54,9.43,0.88,10.34,7.02,0.49,0.86,0.55,0.53,1.39,,,
nb_1_dldesign_0,18.16,9.72,0.9,19.14,10.58,0.49,0.76,0.7,0.45,0.94,,,
nb_1_dldesign_1,17.76,9.49,0.9,39.48,19.36,0.44,0.63,0.62,0.47,0.73,,,
nb_2_dldesign_0,17.24,9.2,0.9,10.4,8.23,0.46,0.65,0.49,0.29,0.99,,,
nb_2_dldesign_1,17.69,9.43,0.9,36.89,23.88,0.5,0.73,0.51,0.4,1.1,,,
nb_3_dldesign_0,17.85,9.56,0.9,31.6,14.76,0.57,1.0,0.57,0.88,1.26,,,
nb_3_dldesign_1,17.79,9.62,0.88,11.67,9.86,0.68,1.3,0.5,0.88,1.81,,,
